close_dollar,close,high_dollar,high,low_dollar,low,open_dollar,open,change_over_time,change_over_time_s,u_open,u_open_dollar,u_close,u_close_dollar,u_high,u_high_dollar,u_low,u_low_dollar,u_volume,change_percent,change_percent_s,volume,date,label,change
$313.65 ,313.65,$316.18 ,316.18,$308.50 ,308.5,$308.84 ,308.84,0.751941015,0.75%,308.84,$308.84 ,313.65,$313.65 ,316.18,$316.18 ,308.5,$308.50 ,4208660,0.0215,0.02%,4208660,8/4/14,4-Aug-14,6.59
$312.32 ,312.32,$314.55 ,314.55,$310.06 ,310.06,$313.30 ,313.3,0.744512093,0.74%,313.3,$313.30 ,312.32,$312.32 ,314.55,$314.55 ,310.06,$310.06 ,2856294,-0.0042,0.00%,2856294,8/5/14,5-Aug-14,-1.33
$313.89 ,313.89,$315.78 ,315.78,$310.20 ,310.2,$310.83 ,310.83,0.753281573,0.75%,310.83,$310.83 ,313.89,$313.89 ,315.78,$315.78 ,310.2,$310.20 ,2297476,0.005,0.01%,2297476,8/6/14,6-Aug-14,1.57
$311.45 ,311.45,$315.88 ,315.8774,$309.66 ,309.655,$315.21 ,315.21,0.739652572,0.74%,315.21,$315.21 ,311.45,$311.45 ,315.8774,$315.88 ,309.655,$309.66 ,2936913,-0.0078,-0.01%,2936913,8/7/14,7-Aug-14,-2.44
$316.80 ,316.8,$317.32 ,317.32,$310.66 ,310.66,$311.94 ,311.94,0.769535832,0.77%,311.94,$311.94 ,316.8,$316.80 ,317.32,$317.32 ,310.66,$310.66 ,2708416,0.0172,0.02%,2708416,8/8/14,8-Aug-14,5.35
$318.33 ,318.33,$320.38 ,320.38,$316.88 ,316.88,$318.48 ,318.48,0.778081886,0.78%,318.48,$318.48 ,318.33,$318.33 ,320.38,$320.38 ,316.88,$316.88 ,2472819,0.0048,0.00%,2472819,8/11/14,11-Aug-14,1.53
$319.32 ,319.32,$321.31 ,321.31,$316.95 ,316.95,$318.89 ,318.89,0.783611685,0.78%,318.89,$318.89 ,319.32,$319.32 ,321.31,$321.31 ,316.95,$316.95 ,1916143,0.0031,0.00%,1916143,8/12/14,12-Aug-14,0.99
$333.21 ,333.21,$334.09 ,334.09,$326.71 ,326.71,$327.80 ,327.8,0.861196448,0.86%,327.8,$327.80 ,333.21,$333.21 ,334.09,$334.09 ,326.71,$326.71 ,3420646,0.0435,0.04%,3420646,8/14/14,14-Aug-14,13.89
$333.63 ,333.63,$335.00 ,335,$328.32 ,328.32,$334.00 ,334,0.863542423,0.86%,334,$334.00 ,333.63,$333.63 ,335,$335.00 ,328.32,$328.32 ,3897928,0.0013,0.00%,3897928,8/15/14,15-Aug-14,0.42
$335.13 ,335.13,$335.81 ,335.81,$333.01 ,333.01,$334.87 ,334.87,0.871920907,0.87%,334.87,$334.87 ,335.13,$335.13 ,335.81,$335.81 ,333.01,$333.01 ,1714120,0.0045,0.00%,1714120,8/18/14,18-Aug-14,1.5
$332.91 ,332.91,$336.58 ,336.582,$332.23 ,332.23,$336.48 ,336.48,0.859520751,0.86%,336.48,$336.48 ,332.91,$332.91 ,336.582,$336.58 ,332.23,$332.23 ,1975792,-0.0066,-0.01%,1975792,8/20/14,20-Aug-14,-2.22
$331.59 ,331.59,$334.08 ,334.08,$330.80 ,330.8,$332.99 ,332.99,0.852147685,0.85%,332.99,$332.99 ,331.59,$331.59 ,334.08,$334.08 ,330.8,$330.80 ,2212965,-0.004,0.00%,2212965,8/22/14,22-Aug-14,-1.32
$334.02 ,334.02,$336.77 ,336.77,$332.71 ,332.71,$333.21 ,333.21,0.865720829,0.87%,333.21,$333.21 ,334.02,$334.02 ,336.77,$336.77 ,332.71,$332.71 ,1960978,0.0073,0.01%,1960978,8/25/14,25-Aug-14,2.43
